name,epoch,train_acc,train_loss,val_acc,val_loss,is_best,duration
baseline,1,0.681425,1.0847792749404908,0.6392,1.1882035827636719,True,30.61711859703064
baseline,2,0.7782,0.8677221792221069,0.6951,1.056011944961548,True,30.892837047576904
baseline,3,0.884975,0.6200501551151275,0.7546,0.9183261734008789,True,30.53226375579834
baseline,4,0.9412,0.48326823720932005,0.7609,0.9245510738372803,True,30.461957931518555
baseline,5,0.97175,0.4040024781703949,0.7636,0.9419135297775268,True,30.58596682548523
baseline,6,0.97615,0.38265647130012514,0.7606,0.9722798223495484,False,30.737122774124146
baseline,7,0.983225,0.3640656894683838,0.7523,0.9891930561065674,False,30.76456904411316
baseline,8,0.97325,0.3781555242061615,0.7435,1.0427642164230346,False,30.698964595794678
baseline,9,0.995975,0.31884353885650635,0.7724,0.9318479120254517,True,30.490898370742798
baseline,10,0.991525,0.3266644118309021,0.7575,0.9769412996292114,False,30.529679536819458
baseline,11,0.98965,0.32785136523246766,0.7497,1.0064264922142028,False,30.60595417022705
baseline,12,0.991675,0.31888942008018495,0.7684,0.9876849953651429,False,30.981431007385254
baseline,13,0.995825,0.3060349304676056,0.7664,0.9657723340988159,False,30.632089138031006
baseline,14,0.994575,0.30537450709342956,0.7758,0.9562290113449097,True,30.409756183624268
baseline,15,0.99705,0.29944763107299804,0.7734,0.9578391157150269,False,30.613070487976074
baseline,16,0.995875,0.29972253198623655,0.7711,0.96463237657547,False,30.64029884338379
baseline,17,0.998275,0.29320149464607237,0.7847,0.939570866394043,True,30.743831396102905
baseline,18,0.9979,0.29377354769706726,0.7817,0.9533052450180054,False,30.57900881767273
baseline,19,0.998675,0.2914744149208069,0.7847,0.9472049209594726,False,30.687122106552124
baseline,20,0.99805,0.2926439981460571,0.7781,0.9667942485809327,False,30.70101284980774
baseline,21,0.997325,0.29329654846191405,0.7811,0.9751251334190368,False,30.70490860939026
baseline,22,0.998275,0.29025463581085204,0.7788,0.9641259477615356,False,30.471819639205933
baseline,23,0.9979,0.2920612514972687,0.7774,0.9844225345611572,False,30.492403507232666
baseline,24,0.999525,0.28639578909873964,0.7897,0.9432045630455017,True,30.503628492355347
baseline,25,0.99935,0.28618057169914246,0.7862,0.9524535922050477,False,30.626659631729126
baseline,26,0.998725,0.28829309644699097,0.7898,0.9526757417678833,True,30.684205293655396
baseline,27,0.999775,0.28476692991256713,0.795,0.9377587215423584,True,30.38045644760132
baseline,28,0.9996,0.2853852074146271,0.7897,0.9424549674987793,False,30.636833667755127
baseline,29,0.9992,0.28628581585884094,0.7833,0.9694538791656494,False,30.583003997802734
baseline,30,0.99985,0.28395274796485903,0.7913,0.9445409002304077,False,30.505183219909668
baseline,31,0.9997,0.28426190848350524,0.793,0.942597571182251,False,30.498830318450928
baseline,32,0.999875,0.2840850305557251,0.7918,0.9475327831268311,False,30.468417406082153
baseline,33,0.99985,0.283608727312088,0.7959,0.9356617542266845,True,30.487491369247437
baseline,34,0.99965,0.2844533666610718,0.7952,0.947363045501709,False,30.508573532104492
baseline,35,0.9999,0.28356714396476745,0.7995,0.9283052642822266,True,31.117270708084106
baseline,36,0.9999,0.28335044016838073,0.7953,0.9403492185592651,False,30.54033851623535
baseline,37,0.9997,0.28363270153999326,0.7974,0.934902890586853,False,30.064266681671143
baseline,38,1.0,0.2827267430782318,0.8044,0.8983238000869751,True,29.622202157974243
baseline,39,1.0,0.28272804536819457,0.8072,0.8989567958831787,True,29.512565851211548
baseline,40,0.999925,0.28306634268760683,0.804,0.9137577837944031,False,29.23325490951538
baseline,41,1.0,0.2828942720413208,0.8036,0.917016472530365,False,30.030526638031006
baseline,42,1.0,0.28250711922645566,0.8145,0.8672255729675293,True,29.486470460891724
baseline,43,1.0,0.2825007874488831,0.8127,0.8599371097564698,False,29.486480474472046
baseline,44,1.0,0.28251434841156003,0.8125,0.8693575303077697,False,29.56184148788452
baseline,45,1.0,0.2824806498527527,0.8158,0.8575239392280578,True,29.612704038619995
baseline,46,0.99985,0.2833992240428925,0.7985,0.9166930577278137,False,29.65319848060608
baseline,47,1.0,0.2825431614398956,0.8076,0.8924955430984497,False,29.77237343788147
baseline,48,1.0,0.2824958044052124,0.8085,0.8948379743576049,False,30.74417519569397
baseline,49,1.0,0.28247218885421754,0.8126,0.8699065101623535,False,30.048553228378296
baseline,50,1.0,0.2824645458698273,0.812,0.8662251192092896,False,31.061396598815918
baseline,51,1.0,0.28245524826049806,0.814,0.8577378351211548,False,30.781259775161743
baseline,52,1.0,0.28244646463394163,0.8146,0.8587004285812377,False,30.864123106002808
baseline,53,1.0,0.28244529767036436,0.8143,0.8563927314758301,False,30.53331232070923
baseline,54,1.0,0.2824438941478729,0.8142,0.8573239068984986,False,31.77585506439209
baseline,55,1.0,0.2824379578590393,0.8131,0.8545692483901978,False,30.034929752349854
baseline,56,1.0,0.2824374965190887,0.8149,0.850604700088501,False,30.062702417373657
baseline,57,1.0,0.28244086556434633,0.8146,0.8546738591194153,False,30.184974193572998
baseline,58,1.0,0.28244282140731813,0.8165,0.8482770275115967,True,30.24836254119873
baseline,59,1.0,0.2824297716617584,0.8183,0.8456393890380859,True,30.68644952774048
baseline,60,1.0,0.28243838062286375,0.818,0.8520350270271301,False,32.03744149208069
baseline,61,1.0,0.2824295859336853,0.8183,0.8489525639533997,False,30.08482265472412
baseline,62,1.0,0.28243152356147766,0.8175,0.8463820431709289,False,30.12458896636963
baseline,63,1.0,0.2824319440841675,0.8174,0.8468941781997681,False,30.237480640411377
baseline,64,1.0,0.2824257239341736,0.8173,0.84280027217865,False,30.48087430000305
baseline,65,1.0,0.2824261480331421,0.8186,0.8422041897773742,True,30.22876501083374
baseline,66,1.0,0.2824220478057861,0.8173,0.8426357494354249,False,30.530670642852783
baseline,67,1.0,0.2824255444049835,0.8138,0.8466509915351867,False,30.362579822540283
baseline,68,1.0,0.2824233558654785,0.8165,0.843280115032196,False,29.448448419570923
baseline,69,1.0,0.28242139821052553,0.8164,0.8452383145332336,False,30.2501482963562
baseline,70,1.0,0.28242089409828186,0.8173,0.8421309344291688,False,31.02139949798584
baseline,71,1.0,0.28242529554367063,0.8173,0.8441022167205811,False,31.065346479415894
baseline,72,1.0,0.28242382278442385,0.8176,0.8404363813400269,False,30.608176946640015
baseline,73,1.0,0.2824212490558624,0.8186,0.8391717756271362,False,29.732494115829468
baseline,74,1.0,0.2824256966590881,0.8165,0.8436378457069397,False,31.2364764213562
baseline,75,1.0,0.28242356810569763,0.8191,0.8451706867218017,True,29.550529956817627
baseline,76,1.0,0.2824288651943207,0.8164,0.8543965963363648,False,29.707401514053345
baseline,77,1.0,0.28244493060111997,0.8112,0.8734461958885192,False,29.470646142959595
baseline,78,1.0,0.28242593593597415,0.8156,0.8548661979675293,False,29.859090566635132
baseline,79,1.0,0.2824631721973419,0.8078,0.8959433570861817,False,29.811575651168823
baseline,80,1.0,0.2824359619617462,0.8122,0.8785666707992553,False,29.58377981185913
baseline,81,1.0,0.2824283185482025,0.8131,0.8657037195205688,False,29.800137281417847
baseline,82,1.0,0.2824269767284393,0.8152,0.8645384885787963,False,29.555715560913086
baseline,83,1.0,0.2824304947376251,0.8155,0.8554626203536987,False,29.959250450134277
baseline,84,1.0,0.28242327246665955,0.8154,0.8618022686958313,False,29.773499965667725
baseline,85,1.0,0.2826538715839386,0.7996,0.9393971060752868,False,29.85453701019287
baseline,86,1.0,0.2825908369541168,0.8007,0.9318416029930114,False,29.799153327941895
baseline,87,0.999975,0.2825812436580658,0.8,0.9445136698722839,False,29.67751169204712
baseline,88,1.0,0.2824691586494446,0.8035,0.9179473421096802,False,29.640223264694214
baseline,89,0.99995,0.28282557554244997,0.792,0.9640729150772095,False,29.904691457748413
baseline,90,0.999525,0.28402922315597534,0.782,1.0124997343063356,False,29.848528146743774
