name,epoch,train_acc,train_loss,val_acc,val_loss,is_best,duration
test,1,0.428175,1.663304027748108,0.4276,1.6741684345245362,True,34.08655643463135
test,2,0.482825,1.5466872541427612,0.4741,1.565778466796875,True,27.92117738723755
test,3,0.5235,1.444898677444458,0.5079,1.4727791814804077,True,28.12444019317627
test,4,0.5594,1.3683751185417175,0.5377,1.4168168933868408,True,27.994417428970337
test,5,0.5842,1.3032946856498717,0.5637,1.354955442047119,True,27.959594011306763
test,6,0.60415,1.2535191146850586,0.5743,1.3226723091125487,True,27.941624641418457
test,7,0.612575,1.2314921709060669,0.5818,1.2985684711456298,True,30.83726954460144
test,8,0.6271,1.197201964378357,0.5983,1.2676922689437866,True,30.521082878112793
test,9,0.623675,1.2215372708320618,0.5924,1.30149807472229,False,32.22457027435303
test,10,0.6412,1.1638035131454467,0.6086,1.2486460132598878,True,34.07486534118652
test,11,0.669025,1.1069171864509582,0.6294,1.1987143400192262,True,35.781102657318115
test,12,0.672075,1.0884361917495728,0.6343,1.1919734954833985,True,32.01946449279785
test,13,0.6922,1.0500768925666808,0.6485,1.1647139669418336,True,32.415703773498535
test,14,0.692275,1.0441212847709656,0.644,1.1642494564056396,False,32.247997999191284
test,15,0.70255,1.0189262989997865,0.6534,1.1526273344039917,True,31.76484179496765
test,16,0.717325,0.9860747777938843,0.6601,1.1345479679107666,True,32.603121280670166
test,17,0.713925,1.0005976285934448,0.6521,1.1468704486846923,False,32.511159896850586
test,18,0.72365,0.9730880048751831,0.6586,1.1353065364837647,False,32.6025128364563
test,19,0.731925,0.945180609703064,0.6664,1.1197856641769408,True,33.876943826675415
test,20,0.722275,0.980162135219574,0.6522,1.1496555233001708,False,31.986872911453247
