exp_id,exp_name,epoch,train_acc,train_loss,val_acc,val_loss,is_best,duration
exp251024_104137,baseline_stdaug,1,0.481475,1.6050815792083741,0.4756,1.6161842266082764,True,10.411952257156372
exp251024_104137,baseline_stdaug,2,0.558475,1.464077954864502,0.5504,1.4782369110107423,True,10.124873638153076
exp251024_104137,baseline_stdaug,3,0.601075,1.385726489830017,0.5888,1.4055948776245117,True,10.229330062866211
exp251024_104137,baseline_stdaug,4,0.617825,1.3505429990768432,0.604,1.3701558452606202,True,10.52033257484436
exp251024_104137,baseline_stdaug,5,0.630325,1.3261153423309326,0.6188,1.3479363359451293,True,10.293974161148071
exp251024_104137,baseline_stdaug,6,0.64205,1.2982560102462768,0.63,1.3219796579360963,True,10.539772510528564
exp251024_104137,baseline_stdaug,7,0.66,1.2606713050842284,0.6459,1.28376469039917,True,10.404922723770142
exp251024_104137,baseline_stdaug,8,0.680725,1.2128358409881592,0.6663,1.245706262588501,True,10.328561305999756
exp251024_104137,baseline_stdaug,9,0.704775,1.1633759286880494,0.6875,1.1968459909439086,True,10.322137594223022
exp251024_104137,baseline_stdaug,10,0.725875,1.1193371379852295,0.7061,1.1559576864242553,True,10.353022575378418
exp251024_104137,baseline_stdaug,11,0.744525,1.077550433921814,0.7327,1.108081494998932,True,10.411316871643066
exp251024_104137,baseline_stdaug,12,0.7632,1.0389291107177734,0.7407,1.082274790763855,True,10.424140214920044
exp251024_104137,baseline_stdaug,13,0.779275,1.001618364715576,0.7557,1.0478015171051025,True,10.446221828460693
exp251024_104137,baseline_stdaug,14,0.792225,0.9731770147323608,0.7703,1.02148541431427,True,10.419740438461304
exp251024_104137,baseline_stdaug,15,0.8053,0.9448540875434875,0.7804,0.9923409713745117,True,10.343097448348999
exp251024_104137,baseline_stdaug,16,0.8201,0.917783515739441,0.7872,0.975883896446228,True,10.392671346664429
exp251024_104137,baseline_stdaug,17,0.82915,0.8951076011657715,0.7999,0.9517218540191651,True,10.530234336853027
exp251024_104137,baseline_stdaug,18,0.8386,0.8737986444473267,0.8098,0.9331666789054871,True,10.287214756011963
exp251024_104137,baseline_stdaug,19,0.8494,0.8499427518844604,0.815,0.9168160722732543,True,10.623517513275146
exp251024_104137,baseline_stdaug,20,0.85555,0.8348992694854737,0.8222,0.9021192335128784,True,10.66936182975769
exp251024_104137,baseline_stdaug,21,0.86295,0.8175219661712646,0.8291,0.884953277015686,True,10.551419019699097
exp251024_104137,baseline_stdaug,22,0.870475,0.8019341476440429,0.835,0.8690382888793945,True,10.613733291625977
exp251024_104137,baseline_stdaug,23,0.879,0.7868434240341187,0.8457,0.8534069742202759,True,10.598507404327393
exp251024_104137,baseline_stdaug,24,0.881725,0.7758314419746399,0.8458,0.8515745916366577,True,10.444917678833008
exp251024_104137,baseline_stdaug,25,0.88865,0.7623800574302674,0.8527,0.8421562181472778,True,10.53684377670288
exp251024_104137,baseline_stdaug,26,0.8939,0.7511460175514221,0.8541,0.8278731410026551,True,10.422826766967773
